F1 - Bug ID,I1 - Introducing issue IDs,I3 - Introducing issue severities,I4 - Introducing issue labels,I5 - # Introducing issue discussants,I5.1 - Introducing issue discussant roles,I5.2 - Introducing issue reporter role,I5.3 - Introducing issue assignee role,I5.4 - Introducing issue creator role,I7 - # Introducing issue commits,I9 - # Introducing issue reopened,I10 - # Introducing issue comments,I11 - # Introducing issue comments after closing (first)
NOVA 1443697 - CG,['v3-api-policy'],['Medium'],[[]],[2],"[['peripheral', 'core']]",['core'],['peripheral'],['core'],[62],[0],[0],[0]
NOVA 1443970,['better-support-for-multiple-networks'],['Low'],[[]],[1],[['core']],['core'],['core'],['core'],[12],[0],[0],[0]
NOVA 1443970 - CG,[],[],[],[],[],[],[],[],[],[],[],[]
NOVA 1447249,['use-configdrive-with-ironic'],['Low'],[[]],[1],[['peripheral']],['peripheral'],['peripheral'],['peripheral'],[1],[0],[0],[0]
NOVA 1447249 - CG,['kilo-objects'],['High'],[[]],[1],[['peripheral']],['peripheral'],['peripheral'],['peripheral'],[79],[0],[0],[0]
NOVA 1453274,['1333827'],['Undecided'],"[['libvirt', 'lxc']]",[3],"[['peripheral', 'not involved', 'not involved']]",['not involved'],[None],['not involved'],[1],[0],[3],[0]
NOVA 1453274 - CG,['1348288'],['Undecided'],[[]],[3],"[['not involved', 'not involved', 'peripheral']]",['not involved'],['peripheral'],['not involved'],[1],[0],[6],[0]
NOVA 1466390,['instance-group-api-extension'],['Medium'],[[]],[2],"[['peripheral', 'not involved']]",['peripheral'],['not involved'],['peripheral'],[11],[0],[0],[0]
NOVA 1466390 - CG,['1180178'],['Critical'],[['baremetal']],[3],"[['peripheral', 'not involved', 'core']]",['peripheral'],['core'],['peripheral'],[4],[0],[8],[0]
NOVA 1467451,['hyper-v-smbfs-volume-support'],['Low'],[[]],[1],[['peripheral']],['peripheral'],['peripheral'],['peripheral'],[1],[0],[0],[0]
NOVA 1467451 - CG,[],[],[],[],[],[],[],[],[],[],[],[]
NOVA 1475356,['1258256'],['Medium'],"[['in-stable-havana', 'unified-objects']]",[2],"[['not involved', 'peripheral']]",['peripheral'],['peripheral'],['peripheral'],[5],[0],[8],[0]
NOVA 1475356 - CG,[],[],[],[],[],[],[],[],[],[],[],[]
NOVA 1475911,['libvirt-lxc-user-namespaces'],['Low'],[[]],[1],[['core']],['core'],['core'],['core'],[5],[0],[0],[0]
NOVA 1475911 - CG,[],[],[],[],[],[],[],[],[],[],[],[]
NOVA 1481078,['1432913'],['Low'],[[]],[2],"[['peripheral', 'not involved']]",['peripheral'],['peripheral'],['peripheral'],[1],[0],[2],[0]
NOVA 1481078 - CG,['nova-no-downward-sql-migration'],['High'],[[]],[2],"[['not involved', 'core']]",['not involved'],['core'],['not involved'],[2],[0],[0],[0]
NOVA 1486541,"['icehouse-objects', 'clean-up-legacy-block-device-mapping']","['Medium', 'Medium']","[[], []]","[1, 1]","[['peripheral'], ['core']]","['peripheral', 'core']","['peripheral', 'core']","[None, 'core']","[41, 16]","[0, 0]","[0, 0]","[0, 0]"
NOVA 1486541 - CG,"['compute-manager-objects', 'icehouse-objects']","['Medium', 'Medium']","[[], []]","[1, 1]","[['peripheral'], ['peripheral']]","['peripheral', 'peripheral']","['peripheral', 'peripheral']","['peripheral', None]","[44, 41]","[0, 0]","[0, 0]","[0, 0]"
NOVA 1505471,[],[],[],[],[],[],[],[],[],[],[],[]
NOVA 1505471 - CG,['scope-config-opts'],['Medium'],[[]],[1],[['core']],['core'],['core'],['core'],[42],[0],[0],[0]
